transaction_id,transaction_date,description,category,transaction_type,amount,payment_method
1,2024-05-17,Bonus,Gaji,Pemasukan,1912165.0,Kartu Debit
2,2024-05-18,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,201838.0,E-Wallet
3,2024-05-01,Ojek online,Transportasi,Pengeluaran,61356.0,Transfer Bank
4,2024-05-12,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,237207.0,Kartu Kredit
5,2024-05-10,Service AC kos,Tempat Tinggal,Pengeluaran,51338.0,Kartu Debit
6,2024-05-30,Ojek online,Transportasi,Pengeluaran,37499.0,Tunai
7,2024-05-21,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,310354.0,Tunai
8,2024-05-02,Pakaian baru,Belanja Bulanan,Pengeluaran,331997.0,Kartu Kredit
9,2024-05-08,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,134787.0,Kartu Debit
10,2024-05-05,Pulsa prabayar,Pulsa & Internet,Pengeluaran,80139.0,E-Wallet
11,2024-05-13,Ojek online,Transportasi,Pengeluaran,23617.0,Tunai
12,2024-05-28,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,322040.0,Kartu Debit
13,2024-05-27,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50113.0,Transfer Bank
14,2024-05-16,Kopi,Makanan & Minuman,Pengeluaran,31632.0,Transfer Bank
15,2024-05-08,Ojek online,Transportasi,Pengeluaran,22058.0,Transfer Bank
16,2024-06-23,Gaji bulanan,Gaji,Pemasukan,6052678.0,E-Wallet
17,2024-06-19,Belanja dapur,Makanan & Minuman,Pengeluaran,314170.0,E-Wallet
18,2024-06-10,Makan malam restoran,Makanan & Minuman,Pengeluaran,499407.0,Kartu Kredit
19,2024-06-11,Paket data,Pulsa & Internet,Pengeluaran,50901.0,Kartu Kredit
20,2024-06-19,Makan malam restoran,Makanan & Minuman,Pengeluaran,448518.0,Kartu Debit
21,2024-06-18,Liburan,Hiburan,Pengeluaran,465047.0,E-Wallet
22,2024-06-11,Gym membership,Pembayaran Langganan,Pengeluaran,200629.0,Transfer Bank
23,2024-06-11,Konser,Hiburan,Pengeluaran,359677.0,E-Wallet
24,2024-06-26,Iuran lingkungan,Tempat Tinggal,Pengeluaran,51523.0,E-Wallet
25,2024-06-14,Konser,Hiburan,Pengeluaran,338240.0,E-Wallet
27,2024-06-05,Ojek online,Transportasi,Pengeluaran,53377.0,Kartu Debit
28,2024-06-21,Pulsa prabayar,Pulsa & Internet,Pengeluaran,61096.0,Kartu Kredit
30,2024-06-24,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,460941.0,Tunai
31,2024-06-10,Bensin,Transportasi,Pengeluaran,92798.0,Transfer Bank
32,2024-06-23,Tagihan internet,Pulsa & Internet,Pengeluaran,94934.0,E-Wallet
33,2024-06-28,Gym membership,Pembayaran Langganan,Pengeluaran,200602.0,E-Wallet
34,2024-06-13,Cloud storage,Pembayaran Langganan,Pengeluaran,52439.0,E-Wallet
35,2024-06-02,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,156047.0,Transfer Bank
36,2024-06-14,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,149460.0,Transfer Bank
37,2024-06-22,Bensin,Transportasi,Pengeluaran,19640.0,Kartu Debit
38,2024-06-04,Netflix,Makanan & Minuman,Pengeluaran,28145.0,Kartu Debit
39,2024-06-02,Pakaian baru,Belanja Bulanan,Pengeluaran,439410.0,Kartu Debit
40,2024-06-24,Bayar kos,Tempat Tinggal,Pengeluaran,987008.0,E-Wallet
41,2024-07-25,Transfer teman,Transfer Teman/Keluarga,Pemasukan,108921.0,E-Wallet
42,2024-07-14,Tagihan internet,Pulsa & Internet,Pengeluaran,65444.0,Kartu Kredit
43,2024-07-22,Ojek online,Transportasi,Pengeluaran,27439.0,Kartu Debit
44,2024-08-30,Gaji bulanan,Hiburan,Pemasukan,6107965.0,E-Wallet
45,2024-08-07,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,257532.0,E-Wallet
46,2024-08-21,Gaji bulanan,Hiburan,Pemasukan,6367805.0,Kartu Debit
47,2024-08-01,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,126522.0,Kartu Debit
48,2024-08-23,Konser,Hiburan,Pengeluaran,400933.0,E-Wallet
49,2024-08-11,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50498.0,Transfer Bank
50,2024-08-12,Cloud storage,Pembayaran Langganan,Pengeluaran,50697.0,Lainnya
51,2024-08-28,Makan malam restoran,Makanan & Minuman,Pengeluaran,330083.0,Kartu Debit
53,2024-08-08,Kopi,Makanan & Minuman,Pengeluaran,34933.0,Kartu Debit
54,2024-08-27,Belanja dapur,Makanan & Minuman,Pengeluaran,275985.0,Transfer Bank
55,2024-08-03,Service AC kos,Tempat Tinggal,Pengeluaran,51691.0,E-Wallet
56,2024-08-26,Jajan,Makanan & Minuman,Pengeluaran,68099.0,E-Wallet
57,2024-08-02,Bayar kos,Gaji,Pengeluaran,951545.0,Transfer Bank
58,2024-08-30,Paket data,Pulsa & Internet,Pengeluaran,61522.0,Kartu Kredit
59,2024-08-17,Service AC kos,Tempat Tinggal,Pengeluaran,51326.0,Kartu Debit
